"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月07日15時20分","130","64","69","0","0","2","0","0","0","0","31"
"2013年02月07日15時25分","107","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時50分","7","82","74","0","0","5","0","0","0","0","48"
"2013年02月07日15時55分","0","37","40","222","0","0","0","0","0","0","0"
"2013年02月07日16時00分","0","0","168","0","0","0","0","0","0","0","0"
"2013年02月07日16時05分","3","23","45","20","0","0","0","0","0","0","1"
"2013年02月07日16時10分","2","29","244","23","0","0","0","0","0","0","0"
"2013年02月07日16時15分","30","13","29","0","0","226","0","0","0","0","0"
"2013年02月07日16時20分","0","9","0","0","0","222","0","0","0","0","0"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時45分","0","0","0","0","0","265","0","0","0","0","0"
"2013年02月07日16時50分","0","27","22","0","0","115","0","0","0","0","0"
"2013年02月07日16時55分","0","45","253","0","0","0","0","0","0","0","0"
"2013年02月07日17時00分","24","9","0","0","0","266","0","0","0","0","0"
"2013年02月07日17時05分","0","12","34","0","0","252","0","0","0","0","0"
"2013年02月07日17時10分","0","0","21","0","0","277","0","0","0","0","0"
"2013年02月07日17時15分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月07日17時20分","0","0","0","0","0","299","0","0","0","0","0"
"2013年02月07日17時25分","53","0","65","0","0","178","0","0","0","0","0"
"2013年02月07日17時30分","79","0","34","0","0","184","0","0","0","0","0"
"2013年02月07日17時35分","0","0","21","0","0","277","0","0","0","0","0"
"2013年02月07日17時40分","6","0","10","0","0","281","0","0","0","0","0"
