"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日12時20分","0","0","0","0","0","0","0","0","0","0","67"
"2013年02月07日12時25分","0","0","0","2","0","0","0","0","0","0","36"
"2013年02月07日12時30分","0","0","0","4","0","0","0","0","0","0","61"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","0","113"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","66"
"2013年02月07日12時45分","1","0","0","0","0","0","0","0","0","0","17"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","0","58"
"2013年02月07日12時55分","0","0","1","0","0","0","0","0","0","0","40"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時55分","0","0","0","0","0","0","0","0","0","0","16"
"2013年02月07日14時00分","0","0","0","7","0","0","0","0","9","0","49"
"2013年02月07日14時05分","0","0","0","4","0","0","0","0","0","0","46"
"2013年02月07日14時10分","0","0","0","0","0","0","0","0","0","0","80"
"2013年02月07日14時15分","0","0","0","0","0","0","0","0","0","0","45"
"2013年02月07日14時20分","10","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時25分","0","21","0","0","0","0","0","0","0","0","5"
"2013年02月07日14時30分","0","0","0","0","0","0","0","0","0","0","28"
"2013年02月07日14時35分","0","0","0","0","0","0","0","0","0","0","62"
"2013年02月07日14時40分","0","0","0","0","0","0","0","0","0","0","30"
"2013年02月07日14時45分","0","0","0","0","0","0","0","0","0","0","82"
"2013年02月07日14時50分","0","0","0","4","0","0","0","0","0","0","68"
"2013年02月07日14時55分","0","0","0","4","0","0","0","0","0","0","43"
"2013年02月07日15時00分","0","0","0","0","0","0","0","0","0","0","15"
"2013年02月07日15時05分","0","0","0","0","0","0","0","0","0","0","44"
"2013年02月07日15時10分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月07日15時15分","0","0","1","0","0","0","0","0","0","0","14"
"2013年02月07日15時20分","0","0","0","0","0","0","0","0","0","0","46"
"2013年02月07日15時25分","0","0","0","0","0","0","0","0","0","0","99"
"2013年02月07日15時30分","0","0","0","0","0","0","0","0","0","0","32"
"2013年02月07日15時35分","0","0","0","0","0","0","0","0","0","0","64"
"2013年02月07日15時40分","0","0","0","0","0","0","0","0","0","0","34"
"2013年02月07日15時45分","0","0","0","0","0","0","0","0","0","0","7"
"2013年02月07日15時50分","8","0","3","0","0","0","0","0","0","0","104"
"2013年02月07日15時55分","0","0","0","3","0","0","0","0","0","0","31"
"2013年02月07日16時00分","0","0","0","0","0","0","0","0","0","0","83"
"2013年02月07日16時05分","0","0","0","0","0","0","0","0","0","0","103"
"2013年02月07日16時10分","2","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時15分","0","0","1","0","0","0","0","0","0","0","63"
"2013年02月07日16時20分","0","0","0","0","0","0","0","0","0","0","23"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","0","0","72"
"2013年02月07日16時30分","32","0","0","0","0","0","0","0","0","0","37"
"2013年02月07日16時35分","0","0","0","2","0","0","0","0","0","0","87"
"2013年02月07日16時40分","0","0","0","3","0","0","0","0","0","0","50"
"2013年02月07日16時45分","12","0","46","0","0","0","0","0","0","0","29"
"2013年02月07日16時50分","0","0","0","0","0","0","0","0","0","0","10"
"2013年02月07日16時55分","27","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日17時00分","0","0","0","0","0","0","0","0","0","0","124"
"2013年02月07日17時05分","0","0","0","0","0","0","0","0","2","0","17"
"2013年02月07日17時10分","57","0","0","0","0","0","0","0","0","0","53"
"2013年02月07日17時15分","0","0","0","0","0","0","0","0","0","0","57"
"2013年02月07日17時20分","8","0","0","0","0","0","0","0","0","0","46"
"2013年02月07日17時25分","34","0","0","0","0","0","0","0","0","0","9"
"2013年02月07日17時30分","0","0","0","4","0","0","0","0","0","0","26"
"2013年02月07日17時35分","0","0","0","0","0","0","0","0","0","0","51"
"2013年02月07日17時40分","0","0","0","0","0","0","0","0","0","0","88"
"2013年02月07日17時45分","19","0","0","0","0","0","0","0","0","0","84"
"2013年02月07日17時50分","0","0","0","0","0","0","0","0","11","0","54"
"2013年02月07日17時55分","0","0","0","0","0","0","0","0","29","0","26"
"2013年02月07日18時00分","0","0","0","0","0","0","0","0","0","0","70"
"2013年02月07日18時05分","0","0","0","0","0","0","0","0","0","0","104"
"2013年02月07日18時10分","0","0","0","0","0","0","0","0","0","0","41"
"2013年02月07日18時15分","0","0","0","0","0","0","0","0","0","0","132"
"2013年02月07日18時20分","0","0","0","0","0","0","0","0","0","0","55"
"2013年02月07日18時25分","12","0","0","0","0","0","0","0","9","0","2"
"2013年02月07日18時30分","0","0","3","0","0","0","0","0","0","0","28"
"2013年02月07日18時35分","0","0","0","0","0","0","0","0","23","0","152"
"2013年02月07日18時40分","0","0","0","0","0","0","0","0","0","0","127"
"2013年02月07日18時45分","85","0","0","0","0","0","0","0","0","0","20"
"2013年02月07日18時50分","0","0","0","26","0","0","0","0","0","0","96"
"2013年02月07日18時55分","0","0","20","0","0","0","0","0","6","0","27"
"2013年02月07日19時00分","0","0","0","30","0","0","0","0","29","0","36"
"2013年02月07日19時05分","0","0","19","0","0","0","0","0","260","0","0"
"2013年02月07日19時10分","0","0","5","0","0","0","0","0","0","0","0"
"2013年02月07日19時15分","28","0","8","0","0","0","0","0","50","0","0"
"2013年02月07日19時20分","4","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日19時25分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月07日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日19時35分","0","0","0","0","0","0","0","0","37","0","0"
"2013年02月07日19時40分","3","0","0","0","0","191","0","0","0","0","0"
"2013年02月07日19時45分","0","0","0","0","0","196","0","0","2","0","0"
"2013年02月07日19時50分","160","0","0","0","0","5","0","0","0","0","0"
"2013年02月07日19時55分","3","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時40分","0","0","0","0","0","0","0","0","0","0","0"
