"","打鍵回数","左クリック","右クリック"
"2013年02月12日12時35分","0","0","0"
"2013年02月12日12時40分","0","0","0"
"2013年02月12日12時45分","0","0","0"
"2013年02月12日12時50分","1","0","0"
"2013年02月12日12時55分","0","0","0"
"2013年02月12日13時00分","0","0","0"
"2013年02月12日13時05分","0","0","0"
"2013年02月12日13時10分","0","0","0"
"2013年02月12日13時15分","3","0","0"
"2013年02月12日13時20分","0","0","0"
"2013年02月12日13時25分","0","0","0"
"2013年02月12日13時30分","25","0","0"
"2013年02月12日13時35分","0","0","0"
"2013年02月12日13時40分","0","0","0"
"2013年02月12日13時45分","13","0","0"
"2013年02月12日13時50分","7","0","0"
"2013年02月12日13時55分","9","0","0"
"2013年02月12日14時00分","23","0","0"
"2013年02月12日14時05分","5","0","0"
"2013年02月12日14時10分","23","0","0"
"2013年02月12日14時15分","2","0","0"
"2013年02月12日14時20分","10","0","0"
"2013年02月12日14時25分","1","0","0"
"2013年02月12日14時30分","4","0","0"
"2013年02月12日14時35分","10","0","0"
"2013年02月12日14時40分","7","0","0"
"2013年02月12日14時45分","0","0","0"
"2013年02月12日14時50分","68","0","0"
"2013年02月12日14時55分","71","0","0"
"2013年02月12日15時00分","11","0","0"
"2013年02月12日15時05分","111","0","0"
"2013年02月12日15時10分","101","0","0"
"2013年02月12日15時15分","15","0","0"
"2013年02月12日15時20分","32","0","0"
"2013年02月12日15時25分","20","0","0"
"2013年02月12日15時30分","6","0","0"
"2013年02月12日15時35分","4","0","0"
"2013年02月12日15時40分","24","0","0"
"2013年02月12日15時45分","0","0","0"
"2013年02月12日15時50分","2","0","0"
"2013年02月12日15時55分","9","0","0"
"2013年02月12日16時00分","0","0","0"
"2013年02月12日16時05分","73","0","0"
"2013年02月12日16時10分","54","0","0"
"2013年02月12日16時15分","0","0","0"
"2013年02月12日16時20分","1","0","0"
"2013年02月12日16時25分","19","0","0"
"2013年02月12日16時30分","10","0","0"
"2013年02月12日16時35分","3","0","0"
"2013年02月12日16時40分","111","0","0"
"2013年02月12日16時45分","39","0","0"
"2013年02月12日16時50分","0","0","0"
"2013年02月12日16時55分","0","0","0"
"2013年02月12日17時00分","0","0","0"
"2013年02月12日17時05分","3","0","0"
"2013年02月12日17時10分","8","0","0"
"2013年02月12日17時15分","0","0","0"
"2013年02月12日17時20分","1","0","0"
"2013年02月12日17時25分","0","0","0"
"2013年02月12日17時30分","7","0","0"
"2013年02月12日17時35分","48","0","0"
"2013年02月12日17時40分","23","0","0"
"2013年02月12日17時45分","1","0","0"
"2013年02月12日17時50分","1","0","0"
"2013年02月12日17時55分","10","0","0"
"2013年02月12日18時00分","6","0","0"
"2013年02月12日18時05分","7","0","0"
"2013年02月12日18時10分","22","0","0"
"2013年02月12日18時15分","51","0","0"
"2013年02月12日18時20分","23","0","0"
"2013年02月12日18時25分","5","0","0"
"2013年02月12日18時30分","17","0","0"
"2013年02月13日09時00分","4","35","0"
"2013年02月13日09時05分","0","11","0"
"2013年02月13日09時10分","0","23","0"
"2013年02月13日09時15分","0","18","0"
"2013年02月13日09時20分","0","0","0"
"2013年02月13日09時25分","0","12","0"
"2013年02月13日09時30分","3","21","0"
