"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月07日14時55分","0","0","0","0","0","40","0","0","0","0","0"
"2013年02月07日15時00分","0","0","1","0","0","32","0","0","0","0","0"
"2013年02月07日15時05分","0","0","3","0","0","45","0","0","0","0","0"
"2013年02月07日15時10分","0","0","6","0","0","36","0","0","0","0","0"
"2013年02月07日15時15分","0","0","1","0","0","19","0","0","0","0","0"
"2013年02月07日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時25分","0","3","5","0","0","29","0","0","0","0","6"
"2013年02月07日15時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時35分","5","1","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時40分","13","0","0","0","0","0","0","0","0","0","3"
"2013年02月07日15時45分","13","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時50分","9","0","1","0","0","29","0","0","0","0","1"
"2013年02月07日15時55分","6","0","0","0","0","1","0","0","0","0","0"
"2013年02月07日16時00分","0","0","2","0","0","33","0","0","0","0","0"
"2013年02月07日16時05分","2","0","35","2","0","1","0","0","0","0","7"
"2013年02月07日16時10分","0","0","17","5","0","0","0","0","0","0","0"
"2013年02月07日16時15分","6","1","0","0","0","0","0","0","0","0","1"
"2013年02月07日16時20分","6","1","10","0","0","10","0","0","0","0","0"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時30分","0","1","0","0","0","52","0","0","0","0","0"
"2013年02月07日16時35分","17","0","2","0","0","14","0","0","0","0","0"
"2013年02月07日16時40分","14","0","7","0","0","60","0","0","0","0","1"
"2013年02月07日16時45分","0","1","2","0","0","33","0","0","0","0","0"
"2013年02月07日16時50分","0","0","4","0","0","26","0","0","0","0","0"
"2013年02月07日16時55分","0","0","0","0","0","17","0","0","0","0","0"
"2013年02月07日17時00分","0","1","2","0","0","2","0","0","0","0","2"
"2013年02月08日09時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時45分","0","0","0","0","0","0","0","0","0","0","0"
