"","打鍵回数","左クリック","右クリック"
"2013年02月08日10時25分","0","0","0"
"2013年02月08日10時30分","0","0","0"
"2013年02月08日10時35分","0","0","0"
"2013年02月08日11時50分","0","5","0"
"2013年02月08日11時55分","58","48","0"
"2013年02月08日12時00分","12","61","1"
"2013年02月08日12時05分","2","97","13"
"2013年02月08日12時10分","18","80","11"
"2013年02月08日12時15分","0","11","0"
"2013年02月08日12時20分","0","0","0"
"2013年02月08日12時25分","0","0","0"
"2013年02月08日12時30分","0","0","0"
"2013年02月08日12時35分","0","0","0"
"2013年02月08日12時40分","0","0","0"
"2013年02月08日12時50分","0","7","0"
"2013年02月08日12時55分","28","49","0"
"2013年02月08日13時00分","80","0","0"
"2013年02月08日13時05分","112","0","0"
"2013年02月08日13時10分","64","0","0"
"2013年02月08日13時15分","50","41","1"
"2013年02月08日13時20分","27","15","1"
"2013年02月08日13時25分","0","18","2"
"2013年02月08日13時30分","25","1","0"
"2013年02月08日13時35分","40","24","2"
"2013年02月08日13時40分","1","45","6"
"2013年02月08日13時45分","0","30","4"
"2013年02月08日13時50分","0","28","0"
"2013年02月08日13時55分","0","44","4"
"2013年02月08日14時00分","0","0","0"
"2013年02月08日14時05分","0","17","0"
"2013年02月08日14時10分","0","31","2"
"2013年02月08日14時15分","0","15","0"
"2013年02月08日14時20分","0","23","1"
"2013年02月08日14時25分","0","27","2"
"2013年02月08日14時30分","0","23","4"
"2013年02月08日14時35分","0","14","8"
"2013年02月08日14時40分","16","7","1"
"2013年02月08日14時45分","0","0","0"
"2013年02月08日14時50分","0","24","5"
"2013年02月08日14時55分","0","32","3"
"2013年02月08日15時00分","0","4","1"
"2013年02月08日15時05分","0","0","0"
"2013年02月08日15時10分","0","18","3"
"2013年02月08日15時15分","13","35","2"
"2013年02月08日15時20分","0","6","0"
"2013年02月08日15時25分","0","25","2"
"2013年02月08日15時30分","0","4","0"
"2013年02月08日15時35分","0","26","1"
"2013年02月08日15時40分","0","15","1"
"2013年02月08日15時45分","0","7","0"
"2013年02月08日15時50分","11","51","1"
"2013年02月08日15時55分","11","44","3"
"2013年02月08日16時00分","0","10","0"
"2013年02月08日16時05分","0","18","1"
"2013年02月08日16時10分","5","16","0"
"2013年02月08日16時15分","6","11","0"
"2013年02月08日16時20分","17","81","5"
"2013年02月08日16時25分","16","4","0"
"2013年02月08日16時30分","52","1","0"
"2013年02月08日16時35分","128","17","1"
"2013年02月08日16時40分","218","12","0"
"2013年02月08日16時45分","202","11","4"
"2013年02月08日16時50分","8","31","1"
"2013年02月08日16時55分","4","5","0"
"2013年02月08日17時00分","19","44","0"
"2013年02月08日17時05分","12","15","0"
"2013年02月08日17時10分","3","35","0"
"2013年02月08日17時15分","3","69","3"
"2013年02月08日17時20分","0","20","0"
"2013年02月08日17時25分","0","65","6"
"2013年02月08日17時30分","7","31","1"
"2013年02月08日17時35分","2","25","3"
"2013年02月08日17時40分","0","30","3"
"2013年02月08日17時45分","0","19","0"
"2013年02月08日17時50分","0","0","0"
"2013年02月08日17時55分","32","33","0"
"2013年02月08日18時00分","632","0","0"
"2013年02月08日18時05分","160","21","1"
"2013年02月08日18時10分","55","2","0"
"2013年02月08日18時15分","483","5","0"
"2013年02月08日18時20分","78","68","1"
"2013年02月12日09時05分","11","57","6"
"2013年02月12日09時10分","0","36","1"
