"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月07日12時10分","0","236","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","0","6","1","0","0","0","0","0","65","0","0"
"2013年02月07日12時25分","0","0","0","0","0","0","0","0","185","0","0"
"2013年02月07日12時30分","0","9","90","0","0","0","0","0","191","0","5"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","213","0","0"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時30分","0","0","0","0","0","0","0","0","36","0","0"
"2013年02月07日13時35分","179","24","6","0","0","0","0","0","82","0","2"
"2013年02月07日13時40分","0","0","0","0","0","0","0","0","174","0","0"
"2013年02月07日13時45分","181","0","0","0","0","0","0","0","95","0","0"
"2013年02月07日13時50分","163","60","0","0","0","0","0","0","25","0","0"
"2013年02月07日13時55分","9","138","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時15分","36","0","17","0","0","0","0","0","174","0","0"
"2013年02月07日14時20分","30","0","78","0","0","0","0","0","109","0","80"
