"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","0","40","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時25分","0","7","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時45分","20","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時05分","0","0","0","0","0","0","0","0","0","0","126"
"2013年02月07日14時10分","0","0","9","0","0","42","0","0","0","0","0"
"2013年02月07日14時15分","0","0","0","0","0","105","0","0","0","0","0"
"2013年02月07日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時25分","0","0","0","0","0","27","0","0","0","0","0"
"2013年02月07日14時30分","0","0","0","0","0","153","0","0","0","0","0"
"2013年02月07日14時35分","0","0","0","0","0","133","0","0","0","0","0"
"2013年02月07日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時10分","0","0","0","0","0","36","0","0","0","0","0"
"2013年02月07日15時15分","0","0","0","0","0","8","0","0","0","0","0"
"2013年02月07日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時35分","0","0","0","0","0","0","0","0","0","0","0"
