"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月12日14時25分","36","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時30分","53","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時35分","72","4","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時40分","8","261","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時45分","101","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時50分","67","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時55分","27","52","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時00分","14","16","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時10分","99","5","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時15分","45","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時20分","97","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時25分","19","0","0","0","0","0","0","0","2","0","0"
"2013年02月12日15時30分","58","8","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時35分","93","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時40分","69","56","2","0","0","0","0","0","0","0","8"
"2013年02月12日15時45分","7","443","24","0","0","0","0","0","0","0","1"
"2013年02月12日15時50分","2","0","10","0","0","2","0","0","97","0","0"
"2013年02月12日15時55分","0","0","5","0","0","2","0","0","6","0","0"
"2013年02月12日16時00分","162","1","0","0","0","7","0","0","63","0","0"
"2013年02月12日16時05分","1","0","0","0","0","20","0","0","0","0","0"
"2013年02月12日16時10分","1","0","0","0","0","86","0","0","1","0","2"
"2013年02月12日16時15分","16","0","1","0","0","2","0","0","23","0","0"
"2013年02月12日16時20分","41","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日16時25分","98","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日16時30分","0","0","0","0","0","6","0","0","0","0","0"
"2013年02月12日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日16時40分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月12日16時45分","0","0","5","0","0","0","0","0","0","0","0"
"2013年02月12日16時50分","0","0","13","0","0","5","0","0","0","0","0"
"2013年02月12日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日17時00分","0","0","0","0","0","17","0","0","0","0","0"
"2013年02月12日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日17時10分","0","0","0","0","0","15","0","0","0","0","0"
"2013年02月12日17時15分","13","8","2","0","0","0","0","0","0","0","0"
"2013年02月12日17時20分","0","25","0","0","0","0","0","0","0","0","0"
"2013年02月12日17時25分","2","0","1","0","0","2","0","0","20","0","0"
"2013年02月12日17時30分","0","0","0","0","0","3","0","0","2","0","0"
"2013年02月12日17時35分","0","0","0","0","0","4","0","0","24","0","0"
"2013年02月12日17時40分","0","0","0","0","0","0","0","0","35","0","0"
"2013年02月12日17時45分","0","0","0","0","0","0","0","0","11","0","0"
"2013年02月12日17時50分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月12日17時55分","7","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時00分","10","37","0","0","0","0","0","0","0","0","0"
