Task name,start time,end time,left click,right click,keystroke
others,20130204:105003,20130204:105004,0,0,0
others,20130204:105004,20130204:105010,0,0,0
others,20130204:105010,20130204:105014,0,0,0
others,20130204:105014,20130204:105019,0,0,0
others,20130204:105019,20130204:105023,0,0,0
others,20130204:105023,20130204:105026,0,0,0
others,20130204:105026,20130204:105030,0,0,0
others,20130204:105030,20130204:105033,0,0,0
others,20130204:105033,20130204:105036,0,0,0
others,20130204:105036,20130204:105040,0,0,0
Excel,20130204:105040,20130204:105042,0,0,0
browsing,20130204:105042,20130204:105058,0,0,0
others,20130204:105058,20130204:105123,0,0,0
others,20130204:105123,20130204:105127,0,0,0
others,20130204:105127,20130204:105136,0,0,0
others,20130204:105136,20130204:105146,0,0,23
others,20130204:105146,20130204:105409,0,0,99
others,20130204:105409,20130204:105410,0,0,2
others,20130204:105410,20130204:105421,0,0,6
others,20130204:105421,20130204:105424,0,0,0
others,20130204:105424,20130204:105429,0,0,0
others,20130204:105429,20130204:105438,0,0,0
others,20130204:105438,20130204:105443,0,0,0
file operation,20130204:105443,20130204:105448,0,0,0
Excel,20130204:105448,20130204:105505,0,0,19
Excel,20130204:105505,20130204:105527,0,0,71
others,20130204:105528,20130204:105547,0,0,4
others,20130204:105547,20130204:105603,0,0,0
others,20130204:105603,20130204:105613,0,0,1
others,20130204:105613,20130204:105619,0,0,0
others,20130204:105619,20130204:105621,0,0,0
others,20130204:105621,20130204:105623,0,0,0
others,20130204:105623,20130204:105638,0,0,0
others,20130204:105638,20130204:105644,0,0,0
others,20130204:105644,20130204:105652,0,0,0
others,20130204:105652,20130204:105847,0,0,0
Excel,20130204:105847,20130204:110005,0,0,30
Excel,20130204:110005,20130204:110043,0,0,10
others,20130204:110043,20130204:110045,0,0,0
Excel,20130204:110045,20130204:110052,0,0,2
browsing,20130204:110053,20130204:110101,0,0,1
browsing,20130204:110101,20130204:110102,0,0,0
browsing,20130204:110102,20130204:110115,0,0,0
browsing,20130204:110115,20130204:110121,0,0,0
Excel,20130204:110121,20130204:110122,0,0,0
Excel,20130204:110122,20130204:110124,0,0,0
browsing,20130204:110124,20130204:110130,0,0,0
others,20130204:110130,20130204:110236,0,0,34
others,20130204:110236,20130204:110239,0,0,0
others,20130204:110239,20130204:110331,0,0,1
browsing,20130204:110332,20130204:110336,0,0,0
browsing,20130204:110336,20130204:110505,0,0,141
browsing,20130204:110505,20130204:110506,0,0,0
browsing,20130204:110506,20130204:110508,0,0,1
browsing,20130204:110508,20130204:110606,0,0,10
others,20130204:110606,20130204:110608,0,0,0
browsing,20130204:110608,20130204:110610,0,0,0
file operation,20130204:110610,20130204:110612,0,0,0
file operation,20130204:110612,20130204:110615,0,0,0
file operation,20130204:110615,20130204:110616,0,0,0
file operation,20130204:110616,20130204:110618,0,0,0
file operation,20130204:110618,20130204:110619,0,0,0
Excel,20130204:110619,20130204:110620,0,0,0
Excel,20130204:110620,20130204:110621,0,0,0
browsing,20130204:110621,20130204:110628,0,0,0
browsing,20130204:110628,20130204:110630,0,0,0
browsing,20130204:110630,20130204:110631,0,0,0
browsing,20130204:110631,20130204:110634,0,0,0
browsing,20130204:110634,20130204:110635,0,0,0
browsing,20130204:110635,20130204:110636,0,0,0
browsing,20130204:110636,20130204:110638,0,0,0
Excel,20130204:110638,20130204:110643,0,0,0
browsing,20130204:110643,20130204:110645,0,0,0
Excel,20130204:110645,20130204:110657,0,0,17
browsing,20130204:110657,20130204:110701,0,0,2
Excel,20130204:110701,20130204:110734,0,0,20
browsing,20130204:110734,20130204:110736,0,0,0
Excel,20130204:110736,20130204:110738,0,0,2
browsing,20130204:110738,20130204:110743,0,0,0
browsing,20130204:110749,20130204:110750,0,0,0
Excel,20130204:110750,20130204:110753,0,0,0
Excel,20130204:110753,20130204:110913,0,0,0
browsing,20130204:110913,20130204:110929,0,0,2
Excel,20130204:110929,20130204:110936,0,0,0
Excel,20130204:110936,20130204:110938,0,0,0
Excel,20130204:110938,20130204:110940,0,0,0
Excel,20130204:110940,20130204:111005,0,0,1
Excel,20130204:111005,20130204:111026,0,0,0
browsing,20130204:111026,20130204:111027,0,0,0
others,20130204:111028,20130204:111056,0,0,2
browsing,20130204:111056,20130204:111058,0,0,0
browsing,20130204:111058,20130204:111101,0,0,0
browsing,20130204:111101,20130204:111117,0,0,14
browsing,20130204:111117,20130204:111122,0,0,0
