"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","0","0","0","0","0","0","0","0","4","0","0"
"2013年02月07日12時25分","0","0","21","5","1","0","0","0","0","17","13"
"2013年02月07日12時30分","0","0","0","0","0","0","0","0","0","225","0"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","89","0"
"2013年02月07日12時40分","0","0","18","9","0","0","0","0","0","96","0"
"2013年02月07日12時45分","0","0","0","0","0","0","0","0","0","342","0"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","183","0"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時55分","5","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時00分","60","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時05分","0","2","19","2","0","0","0","0","12","22","0"
"2013年02月07日14時10分","24","0","0","0","0","1","0","0","11","0","0"
"2013年02月07日14時15分","0","0","1","0","226","9","0","0","12","0","0"
"2013年02月07日14時20分","0","0","0","121","282","4","0","0","13","0","0"
"2013年02月07日14時25分","0","0","0","76","86","2","0","0","1","0","0"
"2013年02月07日14時30分","0","0","25","1","77","1","0","0","22","0","0"
"2013年02月07日14時35分","65","0","12","0","10","0","0","0","22","0","14"
"2013年02月07日14時40分","182","0","7","2","0","0","0","0","0","133","0"
"2013年02月07日14時45分","0","0","7","17","0","0","0","0","0","62","32"
"2013年02月07日14時50分","0","0","28","0","0","0","0","0","38","279","0"
"2013年02月07日14時55分","0","0","2","2","82","0","0","0","20","154","0"
"2013年02月07日15時00分","0","0","0","6","0","0","0","0","1","126","0"
"2013年02月07日15時05分","0","0","2","2","0","0","0","0","46","43","0"
"2013年02月07日15時10分","8","0","0","0","0","0","0","0","32","0","0"
"2013年02月07日15時15分","210","0","8","6","0","0","0","0","40","0","0"
"2013年02月07日15時20分","0","0","0","4","0","0","0","0","0","185","4"
"2013年02月07日15時25分","15","0","0","0","0","0","0","0","0","130","15"
"2013年02月07日15時30分","0","0","0","0","0","0","0","0","0","325","5"
"2013年02月07日15時35分","0","0","0","0","0","0","0","0","0","221","4"
"2013年02月07日15時40分","0","0","0","0","0","0","0","0","0","293","0"
"2013年02月07日15時45分","0","0","0","0","0","0","0","0","0","44","0"
"2013年02月07日15時50分","0","0","0","0","0","0","0","0","0","216","0"
"2013年02月07日15時55分","0","0","0","0","0","0","0","0","0","135","0"
"2013年02月07日16時00分","0","0","0","0","0","0","0","0","0","191","0"
"2013年02月07日16時05分","6","0","0","0","251","0","0","0","3","0","1"
"2013年02月07日16時10分","136","0","1","0","0","0","0","0","0","13","0"
"2013年02月07日16時15分","0","0","20","0","0","0","0","0","0","78","3"
"2013年02月07日16時20分","0","112","4","0","0","0","0","0","0","0","11"
"2013年02月07日16時25分","3","92","20","0","0","0","0","0","0","0","2"
"2013年02月07日16時30分","3","0","4","0","0","166","0","0","1","0","0"
"2013年02月07日16時35分","42","0","3","0","0","52","0","0","25","8","6"
